Marca temporal;Autorizo;®Planea usted iniciar estudios universitarios en los pr¢ximos dos a§os?;®Cu†l es su edad? ;GÇnero ;Grado que cursa actualmente  o titulo profesional obtenido;Tipo de instituci¢n Educativa;Nombre del establecimiento educativo en el cual esta estudiando o es Egresado(a) ;Departamento donde reside;Municipio  donde reside;®Ha cursado estudios complementarios en programaci¢n o an†lisis de datos?;"®Cu†l es el nivel de adopci¢n de IA en su organizaci¢n o establecimiento educativo? 
Donde 1 (Nulo o Inexistente) y 5 (Muy alto o Avanzado) ";®Considera que la IA transformar† la mayor°a de los empleos en la pr¢xima dÇcada?;®Cree usted que la regi¢n Orinoqu°a requiere m†s profesionales especializados en IA?;®Esta de acuerdo con que los riesgos Çticos de la IA deben abordarse en los planes de estudio?;"®QuÇ tan familiarizado(a) est†s con la ?inteligencia artificial??
Donde 1 (Nada familiarizado(a)) y 5 (Muy familiarizado(a)) ";®Ha usado aplicaciones con IA (Chat GPT, Gemini, Copilot, filtros de fotos, chatbots. etc)?  ;®QuÇ tan importante cree que ser† aprender a programar para tu futuro?  ;®Le gustar°a participar en proyectos escolares con robots, drones o apps que usen IA?  ; ®En quÇ †reas cree que la IA puede ayudar a tu comunidad?  ;®Cu†l de los siguientes programas acadÇmicos  relacionados con tecnolog°a inform†tica ser°a su primera opci¢n de inscripci¢n?  Escoger solo uno;®Estar°a dispuesto a matricularse en el programa de Ingenier°a en IA en Unitropico?;®QuÇ nivel de importancia tiene para usted el costo de la matr°cula? ;®QuÇ tan relevante es la cercan°a del del campus universitario a su lugar de residencia? ;®Cu†nta importancia otorga usted al prestigio de la universidad para realizar el programa de ingenier°a en IA?  ;En el mercado laboral actual, ®QuÇ tan probable considera que un egresado de Ingenier°a en Inteligencia Artificial obtenga empleo en su campo? ;®QuÇ relevancia tiene para usted la disponibilidad de becas u otros apoyos financieros?  ;Puntuaci¢n
7/30/2025 17:45:50;;No sabe;27 - 45 a§os;Femenino;TECNICO;Oficial (P£blica);IETA MARFIL;Casanare;yopal;No;2;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;5;1;5;Si;Educaci¢n;Ingenier°a en Inteligencia Artificial;Si;Importante;Importante;Importante;3;1;
7/30/2025 17:48:05;;Si;Mayor de 46 a§os;Masculino;Decimo;Oficial (P£blica);f;Boyac†;w;Si;3;De acuerdo;Totalmente en desacuerdo;De acuerdo;3;4;5;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a en Inteligencia Artificial;Si;Moderado;Moderado;Poco;5;5;
8/8/2025 16:40:25;;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Instituci¢n educativa Megacolegio el progreso ;Casanare;Yopal;Si;1;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;1;5;4;Si;Entretenimiento;Ingenier°a de Sistemas;Si;Moderado;Moderado;Moderado;Neutral / No estoy seguro(a);3;
8/8/2025 16:41:11;;Si;18 - 22 a§os;Masculino;Once;Oficial (P£blica);Megacolegio el progreso ;Casanare;Yopal;Si;3;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;4;4;3;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad, Otro;Otro;Tal vez;Muy importante;Moderado;Importante;Probable;4;
8/8/2025 16:42:43;;Si;18 - 22 a§os;Masculino;Once;Oficial (P£blica);Megacolegio El Progreso;Casanare;Yopal;Si;3;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;3;5;4;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a Electr¢nica;Si;Moderado;Moderado;Moderado;Probable;3;
8/8/2025 16:42:53;;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);megacolegio@gmail.com;Casanare;Yopal ;Si;3;Totalmente de acuerdo;De acuerdo;En desacuerdo;2;2;4;Tal vez;Educaci¢n;Ingenier°a de Sistemas;Tal vez;Muy importante;Moderado;Moderado;Poco probable;3;
8/8/2025 16:43:20;;No sabe;18 - 22 a§os;Masculino;Once;Oficial (P£blica);Megacolegio el progreso ;Casanare;Yopal ;No;2;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;3;4;4;Si;Seguridad;Ingenier°a de Sistemas;Tal vez;Moderado;Poco;Importante;Neutral / No estoy seguro(a);4;
8/8/2025 16:44:14;;No sabe;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Megacolegio El Progreso ;Casanare;Yopal;Si;3;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;4;4;5;Tal vez;Salud, Educaci¢n;Ingenier°a de Sistemas;Tal vez;Importante;Moderado;Poco;Nada probable;4;
8/8/2025 16:44:24;;Si;18 - 22 a§os;Masculino;Once;Oficial (P£blica);Megacolegio el progreso ;Casanare;Yopal;Si;2;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;3;3;3;Si;Seguridad;Ingenier°a de Sistemas;Si;Importante;Importante;Moderado;Probable;3;
8/8/2025 16:46:50;;No sabe;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);Megacolegio El Progreso;Casanare;Yopal;Si;3;De acuerdo;Totalmente de acuerdo;De acuerdo;3;5;5;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a en Inteligencia Artificial;Tal vez;Poco;Poco;Poco;Poco probable;3;
